Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	Miles	Miles / Year	Color	Driver	Warantee Miles	Covered?	New Car ID
FD06MTG001	FD	Ford	MTG	Mustang	06	17	"80,685.80 "	4610.62 	Blue	Vizzini	100000	Y	FD06MTGBLU001
FD06MTG002	FD	Ford	MTG	Mustang	06	17	"52,699.40 "	3011.39 	Red	Bard	75000	Y	FD06MTGRED002
FD08MTG003	FD	Ford	MTG	Mustang	08	15	"27,534.80 "	1776.44 	White	Praulty	75000	Y	FD08MTGWHI003
FD08MTG004	FD	Ford	MTG	Mustang	08	15	"22,188.50 "	1431.52 	Blue	Ewenty	100000	Y	FD08MTGBLU004
FD08MTG005	FD	Ford	MTG	Mustang	08	15	"85,928.00 "	5543.74 	Green	Ewenty	100000	Y	FD08MTGGRE005
FD06FCS006	FD	Ford	FCS	Focus	06	17	"72,527.20 "	4144.41 	White	Bard	75000	Y	FD06FCSWHI006
FD06FCS007	FD	Ford	FCS	Focus	06	17	"30,555.30 "	1746.02 	Black	Lyon	75000	Y	FD06FCSBLA007
FD09FCS008	FD	Ford	FCS	Focus	09	14	"60,389.50 "	4164.79 	White	Howard	100000	Y	FD09FCSWHI008
FD13FCS009	FD	Ford	FCS	Focus	13	10	"93,382.60 "	8893.58 	Black	Swartz	100000	Y	FD13FCSBLA009
FD13FCS010	FD	Ford	FCS	Focus	13	10	"114,660.60 "	10920.06 	Green	Chan	100000	Not covered	FD13FCSGRE010
FD12FCS011	FD	Ford	FCS	Focus	12	11	"69,891.90 "	6077.56 	Blue	Jones	75000	Y	FD12FCSBLU011
FD13FCS012	FD	Ford	FCS	Focus	13	10	"52,229.50 "	4974.24 	Green	Lyon	75000	Y	FD13FCSGRE012
FD13FCS013	FD	Ford	FCS	Focus	13	10	"64,467.40 "	6139.75 	Red	Gaul	100000	Y	FD13FCSRED013
GM09CMR014	GM	General Motors	CMR	Camero	09	14	"77,243.10 "	5327.11 	Black	Jones	75000	Not covered	GM09CMRBLA014
GM12CMR015	GM	General Motors	CMR	Camero	12	11	"48,114.20 "	4183.84 	White	Howard	100000	Y	GM12CMRWHI015
GM14CMR016	GM	General Motors	CMR	Camero	14	9	"82,374.00 "	8670.95 	White	Rodriguez	75000	Not covered	GM14CMRWHI016
GM10SLV017	GM	General Motors	SLV	Silverado	10	13	"44,974.80 "	3331.47 	White	McCall	50000	Y	GM10SLVWHI017
GM98SLV018	GM	General Motors	SLV	Silverado	98	2	"68,658.90 "	27463.56 	Black	Smith	100000	Y	GM98SLVBLA018
GM00SLV019	GM	General Motors	SLV	Silverado	00	23	"42,074.20 "	1790.39 	Green	Gaul	75000	Y	GM00SLVGRE019
TY96CAM020	TY	Hyundai	CAM	Camry	96	4	"44,946.50 "	9988.11 	Green	Lyon	50000	Y	TY96CAMGRE020
TY98CAM021	TY	Hyundai	CAM	Camry	98	2	"83,162.70 "	33265.08 	Black	Santos	100000	Y	TY98CAMBLA021
TY00CAM022	TY	Toyota	CAM	Camry	00	23	"79,420.60 "	3379.60 	Green	Hulinski	75000	Not covered	TY00CAMGRE022
TY02CAM023	TY	Toyota	CAM	Camry	02	21	"67,829.10 "	3154.84 	Black	Smith	100000	Y	TY02CAMBLA023
TY09CAM024	TY	Hyundai	CAM	Camry	09	14	"46,311.40 "	3193.89 	Green	Ewenty	75000	Y	TY09CAMGRE024
TY02COR025	TY	Hyundai	COR	Corola	02	21	"37,558.80 "	1746.92 	Black	Jones	50000	Y	TY02CORBLA025
TY03COR026	TY	Toyota	COR	Corola	03	20	"73,444.40 "	3582.65 	Black	Gaul	100000	Y	TY03CORBLA026
TY14COR027	TY	Toyota	COR	Corola	14	9	"33,477.20 "	3523.92 	Black	Swartz	75000	Y	TY14CORBLA027
TY12COR028	TY	Toyota	COR	Corola	12	11	"42,504.60 "	3696.05 	White	Rodriguez	100000	Y	TY12CORWHI028
